iter	Passed	Remaining
0	0	97
1	1	90
2	2	88
3	3	83
4	4	80
5	4	77
6	5	75
7	6	74
8	7	73
9	8	72
10	8	71
11	9	70
12	10	69
13	11	68
14	11	66
15	12	65
16	13	64
17	14	64
18	15	63
19	15	62
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	58
26	22	59
27	23	59
28	23	58
29	24	57
30	25	57
31	26	57
32	27	56
33	28	55
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	36	47
43	37	47
44	38	46
45	39	45
46	40	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	26
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	65	18
78	67	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	81	2
97	82	1
98	83	0
99	83	0
